drug_id,prot_id,label,prot_domain
59675,386,1,human
388374,716,0,human
617752,1173,0,human
264109,348,0,human
573358,507,1,human
222731,1445,0,human
209825,697,1,human
725524,898,1,human
705904,604,1,human
93665,887,1,human
427612,312,1,human
698344,469,0,human
57907,337,1,human
351736,663,0,human
184219,2836,0,human
294436,539,1,human
809024,455,1,human
537430,604,1,human
821571,361,1,human
697866,426,1,human
57049,357,1,human
522715,635,1,human
275695,455,1,human
801721,584,1,human
822701,761,1,human
140339,664,0,human
841748,433,1,human
677391,544,1,human
199035,701,1,human
267219,667,0,human
463004,289,1,human
256619,975,1,human
845260,894,1,human
612379,458,1,human
491426,467,1,human
169607,664,1,human
224448,799,0,human
330318,763,1,human
128437,559,0,human
16569,2,0,virus
599302,1036,1,human
428517,1833,0,human
331630,682,1,human
166443,437,0,human
225084,1428,0,human
377454,956,1,human
88010,446,0,human
605832,554,1,human
277830,1198,0,human
682686,1223,0,human
586545,458,1,human
263686,1030,1,human
87605,301,1,human
357533,777,1,human
708435,517,1,human
49632,6,1,virus
343119,510,0,human
694925,303,1,human
560567,425,1,human
67795,614,0,human
368217,458,0,human
305994,748,0,human
352480,404,1,human
512076,1813,1,human
291080,510,0,human
635058,517,1,human
246148,721,0,human
125925,912,0,human
346310,719,1,human
365607,354,1,human
387147,398,1,human
618124,427,1,human
106260,586,1,human
714164,919,1,human
259844,1064,0,human
575584,826,1,human
112702,648,0,human
320206,561,1,human
406416,404,1,human
698662,656,1,human
143976,716,0,human
325963,659,1,human
75621,326,0,human
857833,460,1,human
85714,432,0,human
380784,779,1,human
116588,343,0,human
420332,1916,1,human
254858,512,0,human
546878,462,1,human
668589,313,0,human
56378,433,1,human
659886,507,1,human
235766,688,0,human
90115,697,1,human
136457,293,0,human
741920,506,1,human
353282,404,1,human
289665,546,0,human
184432,554,1,human
238245,605,0,human
383765,716,0,human
85879,439,1,human
226796,690,0,human
446169,469,1,human
170996,709,1,human
219072,1508,0,human
346232,442,1,human
790613,384,1,human
482474,1355,0,human
38638,24,1,virus
463385,594,1,human
90306,795,0,human
822729,288,1,human
232516,869,0,human
620563,455,1,human
783926,507,1,human
515392,1176,1,human
469052,911,1,human
639431,506,1,human
252846,409,1,human
473591,289,1,human
619724,455,1,human
566774,356,1,human
121084,568,0,human
203561,1271,0,human
195789,704,1,human
711460,918,1,human
