drug_id,prot_id,label,prot_domain
28228,2,0,virus
3146,24,1,virus
23942,6,1,virus
45452,232,0,virus
14499,18,0,virus
44222,6,1,virus
36852,189,1,virus
34548,18,0,virus
7551,2,1,virus
42992,43,1,virus
52007,262,1,virus
13647,16,0,virus
3733,2,1,virus
3274,24,1,virus
24307,168,1,virus
32378,18,0,virus
6361,189,0,virus
51394,262,0,virus
3014,24,1,virus
29538,164,0,virus
44545,239,1,virus
45886,64,1,virus
22091,95,0,virus
36870,24,1,virus
357,18,0,virus
8967,24,1,virus
9336,24,1,virus
32627,21,0,virus
43720,162,1,virus
19253,18,0,virus
7613,51,1,virus
20073,20,0,virus
54692,2,1,virus
8310,2,1,virus
15976,18,0,virus
19472,5,0,virus
25032,54,1,virus
39653,20,1,virus
2306,0,0,virus
44485,239,1,virus
18591,2,0,virus
18507,0,0,virus
22380,5,0,virus
55183,8,1,virus
19181,0,0,virus
33692,166,0,virus
266,201,1,virus
37837,189,1,virus
24535,118,0,virus
26150,43,0,virus
13651,16,0,virus
2528,4,1,virus
1546,54,1,virus
34106,21,0,virus
37937,183,1,virus
54055,262,0,virus
8151,24,0,virus
3345,17,0,virus
28789,21,0,virus
41036,6,1,virus
2323,0,0,virus
43264,6,1,virus
9865,9,0,virus
28895,43,1,virus
21430,5,0,virus
2300,18,0,virus
16537,5,0,virus
21975,14,0,virus
17767,103,0,virus
14844,222,1,virus
50650,43,0,virus
32191,18,0,virus
4538,48,1,virus
32303,21,0,virus
4692,16,0,virus
21712,16,0,virus
15377,0,0,virus
12989,16,0,virus
18966,10,0,virus
25636,17,1,virus
36442,16,1,virus
22325,168,0,virus
54814,6,1,virus
32321,18,0,virus
13464,94,0,virus
30429,21,0,virus
25038,54,1,virus
5010,25,1,virus
15358,2,0,virus
27664,43,0,virus
1361,23,1,virus
11421,56,1,virus
16516,16,0,virus
15606,168,0,virus
22514,59,0,virus
46125,255,1,virus
45052,242,1,virus
40759,189,1,virus
12097,168,1,virus
41190,6,1,virus
39935,43,1,virus
6931,189,1,virus
3420,10,1,virus
30592,21,1,virus
38033,183,1,virus
39544,20,1,virus
32913,18,0,virus
15603,168,0,virus
11449,56,1,virus
40299,6,1,virus
30576,18,0,virus
2050,5,0,virus
9095,9,1,virus
41355,206,0,virus
52390,43,1,virus
24883,118,1,virus
50830,43,0,virus
17266,105,0,virus
37643,18,0,virus
27806,16,0,virus
2545,2,0,virus
10618,24,0,virus
33491,21,0,virus
38175,24,1,virus
7117,189,1,virus
37642,18,0,virus
4416,24,1,virus
42964,229,0,virus
42469,0,0,virus
38243,135,1,virus
9854,59,0,virus
45059,136,1,virus
37618,24,1,virus
14336,18,0,virus
35538,43,1,virus
45772,64,1,virus
43447,162,1,virus
33740,18,0,virus
19105,102,0,virus
21002,2,1,virus
17958,14,0,virus
52683,262,1,virus
55215,6,1,virus
9049,41,0,virus
12670,168,0,virus
4715,16,0,virus
2162,40,1,virus
41359,2,0,virus
13445,2,1,virus
34102,18,0,virus
9853,43,1,virus
26625,4,1,virus
54900,6,1,virus
38835,20,1,virus
15337,111,0,virus
43526,162,1,virus
18719,14,0,virus
22379,5,0,virus
49559,6,1,virus
47713,43,0,virus
37744,24,0,virus
47464,43,0,virus
7866,3,0,virus
11954,16,1,virus
31460,21,0,virus
39360,20,0,virus
21244,2,0,virus
11349,16,1,virus
23899,54,1,virus
9089,24,1,virus
8542,56,1,virus
38827,189,1,virus
16535,0,0,virus
51917,262,1,virus
45110,136,1,virus
24558,20,0,virus
53772,262,0,virus
38929,20,1,virus
21809,20,0,virus
26463,43,0,virus
22865,42,1,virus
54744,34,1,virus
44839,136,0,virus
19671,0,0,virus
44873,136,1,virus
7450,24,1,virus
21842,168,1,virus
15659,18,0,virus
13106,16,0,virus
38771,126,0,virus
33271,18,0,virus
38654,20,1,virus
38677,23,1,virus
13658,168,0,virus
28853,189,1,virus
28011,43,0,virus
33436,18,0,virus
11004,74,0,virus
1024,8,1,virus
21261,5,0,virus
42192,216,0,virus
44170,34,1,virus
9352,24,1,virus
2967,189,1,virus
23042,54,1,virus
40415,6,0,virus
22898,42,1,virus
23712,136,1,virus
20681,126,0,virus
53775,262,0,virus
39605,20,1,virus
8692,56,0,virus
17993,0,0,virus
33797,167,0,virus
3835,25,0,virus
3393,2,1,virus
32860,21,0,virus
50971,43,0,virus
18669,168,1,virus
5236,24,1,virus
26545,4,0,virus
54481,16,0,virus
3594,48,1,virus
46289,258,1,virus
19531,106,0,virus
23743,54,1,virus
28288,2,0,virus
3293,43,1,virus
39102,2,1,virus
35077,16,1,virus
6320,16,0,virus
39052,2,1,virus
7711,189,1,virus
7940,16,0,virus
20723,5,0,virus
27621,2,1,virus
15360,2,0,virus
9335,24,1,virus
15269,18,0,virus
37801,189,1,virus
8747,2,0,virus
26021,2,1,virus
4534,48,1,virus
43015,137,1,virus
5317,6,0,virus
45789,191,1,virus
39398,4,0,virus
33806,166,0,virus
20803,2,1,virus
43350,6,1,virus
41081,54,1,virus
43719,162,1,virus
25764,153,0,virus
5546,222,1,virus
45061,136,1,virus
19371,16,1,virus
9402,9,0,virus
240,54,1,virus
17645,18,0,virus
22257,5,0,virus
9050,41,0,virus
50981,43,0,virus
39059,222,1,virus
1730,5,0,virus
1540,16,1,virus
11428,56,1,virus
7123,24,1,virus
38049,20,1,virus
43697,162,1,virus
44309,6,1,virus
14253,103,0,virus
26278,24,1,virus
8885,24,1,virus
54223,262,0,virus
30142,164,0,virus
11983,10,0,virus
33013,21,0,virus
16151,126,0,virus
48765,43,1,virus
21074,16,1,virus
47347,43,0,virus
3604,34,0,virus
27639,9,1,virus
1491,2,1,virus
15768,5,0,virus
16815,105,0,virus
32949,18,0,virus
14683,20,0,virus
35564,24,1,virus
10452,9,1,virus
25775,153,0,virus
31473,18,0,virus
32589,2,1,virus
16237,18,0,virus
49539,6,1,virus
7474,24,0,virus
30584,21,0,virus
24290,2,1,virus
12067,2,0,virus
47406,43,0,virus
53625,43,0,virus
38727,20,1,virus
40566,189,1,virus
35209,172,1,virus
18082,0,0,virus
51793,262,1,virus
7198,56,0,virus
14273,14,0,virus
45776,191,1,virus
11854,16,0,virus
38788,20,1,virus
9238,6,1,virus
47610,43,0,virus
811,9,1,virus
1896,19,1,virus
52399,250,1,virus
15508,0,0,virus
24431,16,0,virus
16523,16,0,virus
7901,24,1,virus
19248,0,0,virus
9838,9,0,virus
38959,135,1,virus
50773,43,0,virus
38682,23,1,virus
34625,43,1,virus
32592,21,1,virus
31905,16,1,virus
13498,16,0,virus
14441,126,0,virus
29761,18,0,virus
25040,23,1,virus
9087,189,1,virus
20171,59,0,virus
46564,250,1,virus
17117,18,0,virus
20057,95,0,virus
17634,2,0,virus
25722,2,0,virus
41484,6,0,virus
1439,2,1,virus
739,15,1,virus
11647,168,1,virus
31750,21,0,virus
1252,54,1,virus
14484,107,0,virus
24885,118,1,virus
37709,41,0,virus
531,9,0,virus
46075,255,1,virus
3088,2,0,virus
30651,21,0,virus
5880,6,1,virus
39469,34,1,virus
594,22,1,virus
30556,18,0,virus
26399,43,1,virus
31778,2,1,virus
3536,61,0,virus
17226,220,1,virus
18281,168,1,virus
32352,18,0,virus
32294,21,0,virus
23858,54,1,virus
48238,59,0,virus
49588,6,1,virus
30931,43,0,virus
11409,168,0,virus
25307,20,1,virus
32723,18,0,virus
49489,239,0,virus
33245,262,0,virus
47081,43,0,virus
30475,164,0,virus
18991,16,0,virus
54050,262,0,virus
30884,43,0,virus
895,8,1,virus
21607,5,0,virus
19959,126,0,virus
13366,89,0,virus
42887,189,1,virus
10633,24,1,virus
26292,24,1,virus
3420,3,1,virus
38851,24,1,virus
18182,112,0,virus
24794,144,0,virus
15183,111,0,virus
48521,237,1,virus
8712,24,0,virus
485,25,1,virus
47383,43,0,virus
33585,18,0,virus
31012,21,0,virus
40989,6,1,virus
21628,5,0,virus
4132,6,1,virus
15681,18,0,virus
3646,42,1,virus
25791,56,1,virus
9348,24,1,virus
15924,16,1,virus
12947,168,0,virus
31199,21,0,virus
52484,262,0,virus
3979,24,1,virus
22962,23,1,virus
48718,31,1,virus
45914,191,1,virus
3289,43,1,virus
54737,80,0,virus
4812,49,1,virus
30535,43,1,virus
453,2,1,virus
2507,24,0,virus
45615,64,1,virus
28676,18,0,virus
12301,20,1,virus
33940,43,0,virus
14440,10,0,virus
22673,5,0,virus
28582,21,0,virus
7311,24,1,virus
34011,18,0,virus
38454,24,1,virus
31453,43,0,virus
51677,262,1,virus
54512,2,0,virus
39377,20,1,virus
33510,18,0,virus
22452,37,0,virus
9025,124,1,virus
2405,16,0,virus
44763,136,1,virus
7050,24,1,virus
16150,10,0,virus
