drug_id,prot_id,label,prot_domain
13830,9,1,virus
37150,22,1,virus
40358,6,0,virus
12444,168,1,virus
45738,64,1,virus
14728,145,0,virus
20008,16,0,virus
23838,54,1,virus
32479,18,0,virus
45894,191,1,virus
2705,24,1,virus
35420,43,1,virus
18267,216,0,virus
754,54,1,virus
25996,16,0,virus
13293,168,0,virus
54624,50,0,virus
14612,108,0,virus
5004,25,1,virus
9693,24,1,virus
4777,24,0,virus
31027,43,1,virus
50129,155,1,virus
39188,22,1,virus
33559,21,0,virus
44415,6,1,virus
48424,136,1,virus
7598,189,1,virus
1643,43,0,virus
22399,2,0,virus
21348,95,0,virus
23764,54,1,virus
14534,18,0,virus
12204,16,1,virus
45427,41,0,virus
2943,49,0,virus
49974,155,1,virus
32787,21,0,virus
12207,6,1,virus
14108,2,0,virus
23070,22,1,virus
8304,24,1,virus
2577,2,1,virus
1723,54,1,virus
39749,13,1,virus
29636,43,1,virus
10397,56,0,virus
21814,2,0,virus
42493,106,0,virus
18612,103,0,virus
32961,18,0,virus
15924,16,1,virus
12891,2,1,virus
1449,2,1,virus
32340,21,0,virus
21910,10,0,virus
49973,155,1,virus
33490,21,0,virus
43914,239,0,virus
24433,134,0,virus
9711,203,1,virus
23360,55,0,virus
38600,24,1,virus
50311,155,1,virus
35365,43,1,virus
13306,2,0,virus
9810,24,1,virus
45989,256,1,virus
20136,100,1,virus
48203,43,0,virus
19942,16,0,virus
23822,9,1,virus
15001,2,1,virus
2957,24,1,virus
21129,56,0,virus
13653,168,0,virus
9338,24,1,virus
34707,21,0,virus
4121,2,1,virus
54896,6,1,virus
12100,168,1,virus
51610,262,1,virus
29844,17,1,virus
34385,21,0,virus
37046,23,1,virus
24383,16,1,virus
8569,9,0,virus
38698,20,1,virus
37088,189,1,virus
50767,43,0,virus
19672,18,0,virus
15870,18,0,virus
29446,43,1,virus
21292,168,0,virus
34701,21,0,virus
41785,216,0,virus
2937,49,0,virus
38596,24,1,virus
8635,56,1,virus
39619,20,1,virus
51351,262,1,virus
51516,262,1,virus
30229,18,0,virus
3412,3,0,virus
25643,20,1,virus
18476,106,0,virus
5175,24,1,virus
20663,10,0,virus
39732,13,1,virus
25979,6,0,virus
45605,64,1,virus
13457,222,0,virus
12458,16,0,virus
49865,64,1,virus
12475,50,0,virus
2569,17,0,virus
52188,262,1,virus
20795,126,1,virus
760,9,1,virus
51624,262,1,virus
26348,145,1,virus
10538,2,0,virus
6323,168,0,virus
8434,6,0,virus
1455,2,1,virus
13632,16,0,virus
26825,43,1,virus
15223,64,0,virus
1081,139,1,virus
7294,47,1,virus
33376,43,1,virus
28796,18,0,virus
40141,189,1,virus
47654,43,0,virus
20580,5,0,virus
10234,9,1,virus
31129,43,0,virus
2180,56,1,virus
42066,216,0,virus
1224,0,0,virus
39238,16,0,virus
26565,4,1,virus
31268,21,0,virus
32385,18,0,virus
9894,28,0,virus
13723,16,1,virus
24875,60,1,virus
54179,262,0,virus
31483,18,0,virus
35187,146,0,virus
21093,168,0,virus
40029,135,1,virus
35545,43,1,virus
46123,255,1,virus
15290,102,0,virus
48199,59,0,virus
25996,2,1,virus
39529,24,1,virus
2313,56,1,virus
13258,2,0,virus
34240,18,0,virus
38800,24,1,virus
4218,49,1,virus
16781,0,0,virus
49171,261,1,virus
33439,43,1,virus
11650,168,1,virus
49011,261,1,virus
7037,56,1,virus
16527,16,0,virus
53496,43,0,virus
402,0,0,virus
1663,6,1,virus
33074,21,0,virus
30610,18,0,virus
3349,17,0,virus
31680,2,1,virus
12587,16,1,virus
45599,191,1,virus
757,100,1,virus
41146,6,1,virus
40640,6,1,virus
9232,20,1,virus
30193,18,0,virus
39103,20,1,virus
11977,2,1,virus
19175,5,0,virus
36314,24,1,virus
597,137,1,virus
13135,2,0,virus
9437,189,1,virus
39367,20,0,virus
36766,135,1,virus
4619,16,0,virus
12143,16,0,virus
48213,43,0,virus
22857,42,1,virus
32942,18,0,virus
39206,22,1,virus
15973,0,0,virus
45834,191,1,virus
23761,136,1,virus
31171,43,1,virus
10211,9,0,virus
25526,2,1,virus
51944,262,1,virus
6733,6,1,virus
54687,2,0,virus
19042,102,0,virus
25559,222,1,virus
25344,126,0,virus
38598,24,1,virus
45186,59,1,virus
514,27,0,virus
31589,21,0,virus
23057,54,1,virus
19745,103,0,virus
54580,67,0,virus
21274,22,1,virus
25395,2,0,virus
15976,18,0,virus
20043,250,0,virus
33497,21,0,virus
6933,24,1,virus
32608,2,1,virus
16967,222,0,virus
16868,0,0,virus
40048,135,1,virus
11780,56,1,virus
12183,16,1,virus
35849,24,1,virus
31708,2,1,virus
32805,18,0,virus
28843,245,0,virus
39605,20,1,virus
45619,64,1,virus
35236,43,1,virus
38054,24,1,virus
2322,163,0,virus
11422,56,1,virus
47503,43,0,virus
4623,16,0,virus
14727,102,0,virus
7471,24,0,virus
42457,0,0,virus
16987,103,0,virus
9400,24,1,virus
2964,183,1,virus
13232,9,1,virus
22745,16,0,virus
12301,24,1,virus
47153,43,0,virus
5003,25,1,virus
7468,24,0,virus
24868,4,1,virus
32423,21,0,virus
4584,48,1,virus
9741,13,0,virus
54439,16,0,virus
32817,167,0,virus
19023,16,0,virus
4795,49,1,virus
52373,232,1,virus
42664,14,0,virus
18927,18,0,virus
39897,20,0,virus
17855,20,0,virus
17339,220,1,virus
10437,56,1,virus
37078,13,0,virus
17227,220,1,virus
41129,6,1,virus
47582,43,0,virus
38684,22,1,virus
16483,16,0,virus
14909,106,0,virus
18190,2,1,virus
12864,2,1,virus
20676,10,0,virus
26633,157,0,virus
7477,24,0,virus
39028,222,1,virus
14811,64,0,virus
5876,2,1,virus
35205,172,1,virus
25038,100,1,virus
205,1,0,virus
6099,57,0,virus
30462,91,0,virus
4812,49,1,virus
33452,21,0,virus
48527,237,1,virus
837,56,1,virus
43631,162,1,virus
47883,43,0,virus
25308,20,1,virus
33410,18,0,virus
7917,24,1,virus
39067,222,1,virus
44777,136,1,virus
43426,162,1,virus
34743,85,0,virus
24758,20,0,virus
1043,54,1,virus
22578,168,0,virus
51895,262,1,virus
36146,13,0,virus
49015,261,1,virus
19003,16,0,virus
35960,24,1,virus
2967,189,1,virus
45090,136,1,virus
37814,54,1,virus
4202,54,1,virus
3747,191,1,virus
13312,59,0,virus
18672,168,1,virus
26265,6,1,virus
39547,20,1,virus
14521,18,0,virus
8324,2,1,virus
23248,135,0,virus
39607,20,1,virus
31631,18,0,virus
25977,6,0,virus
8664,2,0,virus
14438,126,0,virus
45079,242,1,virus
43989,237,1,virus
25023,100,1,virus
14577,2,0,virus
25229,168,1,virus
10455,278,0,virus
12223,9,1,virus
22756,59,0,virus
39465,22,1,virus
1083,8,1,virus
32688,21,0,virus
4102,6,1,virus
51391,262,1,virus
3539,3,0,virus
52384,232,1,virus
4277,54,1,virus
23804,9,1,virus
18701,16,0,virus
31875,43,0,virus
31503,21,0,virus
23054,22,1,virus
19281,102,0,virus
31629,21,0,virus
9322,24,1,virus
40010,187,0,virus
28419,2,0,virus
19071,18,0,virus
17168,126,0,virus
8064,2,1,virus
10135,189,1,virus
24920,9,1,virus
24423,16,0,virus
54634,6,0,virus
21584,2,0,virus
32807,18,0,virus
32002,43,1,virus
8432,2,1,virus
31384,18,0,virus
16044,134,0,virus
34698,21,0,virus
37302,6,1,virus
29918,43,0,virus
50667,43,0,virus
26201,18,0,virus
31827,2,1,virus
17683,18,0,virus
208,56,1,virus
24693,2,0,virus
1485,222,1,virus
15198,0,0,virus
767,23,1,virus
15519,14,0,virus
32355,43,0,virus
32948,18,0,virus
43280,6,1,virus
785,22,1,virus
43506,162,1,virus
15577,0,0,virus
21580,222,1,virus
15654,103,0,virus
32457,21,0,virus
20602,2,0,virus
9867,9,0,virus
13797,16,0,virus
38514,24,1,virus
11815,2,1,virus
5216,67,1,virus
11891,168,0,virus
30881,18,0,virus
10169,189,1,virus
27313,24,1,virus
25649,168,0,virus
30255,18,0,virus
1044,34,1,virus
38787,20,1,virus
13952,16,0,virus
32869,18,0,virus
46128,255,1,virus
13237,168,0,virus
22003,5,0,virus
24842,126,0,virus
22165,10,0,virus
35611,43,1,virus
7306,42,0,virus
35795,135,1,virus
37837,189,1,virus
8049,191,1,virus
25595,2,1,virus
15971,0,0,virus
35437,24,1,virus
8920,2,0,virus
51860,262,1,virus
4264,25,1,virus
23025,22,1,virus
18531,14,0,virus
2528,4,1,virus
22367,59,0,virus
1070,8,1,virus
18596,105,0,virus
31538,21,0,virus
21782,16,0,virus
52147,262,1,virus
3468,195,1,virus
17437,216,0,virus
1439,2,1,virus
13780,10,0,virus
3065,45,0,virus
5955,189,1,virus
931,8,1,virus
24787,4,0,virus
1593,0,0,virus
25996,6,0,virus
5092,191,1,virus
21365,168,1,virus
33849,18,0,virus
13796,16,0,virus
755,54,1,virus
25716,2,1,virus
44788,136,1,virus
44127,239,1,virus
54290,43,1,virus
11812,222,0,virus
45875,64,1,virus
43231,6,1,virus
3879,48,1,virus
4365,54,1,virus
9479,6,1,virus
21990,5,0,virus
13268,168,1,virus
21278,272,1,virus
16813,14,0,virus
38215,135,1,virus
50781,43,1,virus
25585,2,0,virus
917,8,1,virus
13364,89,0,virus
47742,262,0,virus
2984,47,0,virus
14877,18,0,virus
11574,16,0,virus
34166,41,1,virus
37087,24,1,virus
22745,168,0,virus
6514,13,1,virus
51635,262,1,virus
40984,6,1,virus
3951,24,1,virus
22912,23,1,virus
13244,16,1,virus
43361,239,1,virus
38613,189,1,virus
9546,75,1,virus
12183,6,1,virus
2226,222,0,virus
2547,2,0,virus
33669,21,0,virus
606,34,1,virus
16352,103,0,virus
20666,126,0,virus
26286,2,0,virus
7490,24,0,virus
38945,20,1,virus
8694,9,0,virus
20465,125,0,virus
40272,189,1,virus
6803,24,1,virus
31122,21,0,virus
25971,2,0,virus
33026,21,0,virus
17985,105,0,virus
20554,55,1,virus
33584,18,0,virus
3050,48,1,virus
26899,8,1,virus
46889,43,0,virus
26024,2,1,virus
15464,0,0,virus
38406,24,1,virus
17964,18,0,virus
37498,22,1,virus
25417,91,0,virus
10527,56,0,virus
40036,135,1,virus
14833,18,0,virus
40144,189,1,virus
22391,5,0,virus
181,189,1,virus
35963,189,1,virus
14502,0,0,virus
14672,114,0,virus
31279,135,1,virus
23551,138,0,virus
2603,54,1,virus
43395,239,1,virus
18341,0,0,virus
40293,6,1,virus
33777,18,0,virus
33609,18,0,virus
13571,16,1,virus
8068,191,1,virus
4741,49,1,virus
41409,6,0,virus
18476,107,0,virus
35108,16,1,virus
20779,5,0,virus
38169,24,1,virus
33319,18,0,virus
40236,189,1,virus
37207,135,1,virus
28086,21,0,virus
32726,18,0,virus
38792,24,0,virus
25475,2,1,virus
52674,262,1,virus
16253,0,0,virus
36270,24,1,virus
45773,64,1,virus
3536,61,0,virus
45230,59,1,virus
38535,24,1,virus
47100,43,0,virus
40455,6,1,virus
34322,21,0,virus
9025,13,1,virus
43995,237,1,virus
15532,106,0,virus
19122,18,0,virus
45983,255,1,virus
22448,126,0,virus
42788,189,1,virus
45959,255,1,virus
31476,18,0,virus
12431,16,0,virus
43232,6,1,virus
36454,189,1,virus
3728,191,1,virus
300,16,1,virus
4307,2,0,virus
34838,16,1,virus
22988,23,1,virus
34326,21,0,virus
9426,16,0,virus
4002,22,0,virus
44661,239,1,virus
995,34,1,virus
2159,40,1,virus
1105,9,0,virus
1294,15,1,virus
31420,43,1,virus
8151,189,0,virus
39098,20,1,virus
18988,222,0,virus
2751,54,1,virus
18434,0,0,virus
23050,22,1,virus
44306,6,1,virus
35128,16,1,virus
9525,24,1,virus
30832,43,0,virus
27430,2,0,virus
41339,135,1,virus
11040,2,0,virus
38336,24,1,virus
54226,262,0,virus
40119,188,1,virus
35001,16,1,virus
38567,24,1,virus
40281,189,1,virus
5520,6,0,virus
33788,21,0,virus
45749,191,1,virus
18407,18,0,virus
29545,21,0,virus
22928,224,1,virus
37426,54,1,virus
36804,135,1,virus
52721,262,1,virus
51646,262,1,virus
19101,18,0,virus
39107,20,1,virus
38283,6,1,virus
46518,43,0,virus
25889,2,0,virus
21628,5,0,virus
11126,222,0,virus
33977,21,0,virus
39438,20,1,virus
32788,21,0,virus
12275,16,0,virus
29878,59,1,virus
31584,21,0,virus
15287,103,0,virus
19300,0,0,virus
33162,21,0,virus
45057,242,1,virus
24400,2,0,virus
19581,55,1,virus
17273,18,0,virus
7117,24,1,virus
32785,21,0,virus
9213,76,0,virus
33542,18,0,virus
14243,18,0,virus
39789,23,1,virus
421,0,0,virus
43129,237,1,virus
16184,18,0,virus
14058,16,0,virus
23044,22,1,virus
17300,2,1,virus
19791,43,1,virus
37227,13,1,virus
36262,24,1,virus
33663,18,0,virus
16449,59,0,virus
3361,6,1,virus
10093,16,1,virus
38635,24,1,virus
10612,16,0,virus
37180,24,1,virus
23223,54,1,virus
33408,18,0,virus
37501,13,1,virus
40202,189,1,virus
30538,43,1,virus
18112,18,0,virus
14290,0,0,virus
31683,18,0,virus
17264,107,0,virus
14148,2,0,virus
24497,23,1,virus
9232,6,1,virus
13356,222,0,virus
32635,21,0,virus
38494,24,1,virus
29518,18,0,virus
33331,21,1,virus
33514,18,0,virus
51718,262,1,virus
49897,64,1,virus
54942,222,1,virus
7599,190,1,virus
34938,16,1,virus
19346,18,0,virus
34071,21,0,virus
32107,43,1,virus
45910,191,1,virus
52598,262,1,virus
43384,239,1,virus
23803,9,1,virus
29433,18,0,virus
42722,221,1,virus
5190,24,1,virus
2206,2,0,virus
38907,20,1,virus
37563,189,1,virus
32552,18,0,virus
45804,191,1,virus
38372,24,1,virus
35924,135,1,virus
21731,5,0,virus
1670,6,0,virus
30748,21,0,virus
32617,21,0,virus
5531,2,0,virus
930,8,1,virus
16183,102,0,virus
45749,64,1,virus
30147,18,0,virus
17970,18,0,virus
48275,59,0,virus
7593,190,1,virus
23987,6,1,virus
26496,43,0,virus
3738,191,1,virus
22989,54,1,virus
14373,18,0,virus
2882,43,1,virus
40414,6,0,virus
25454,222,1,virus
19062,59,0,virus
36452,24,1,virus
52378,159,1,virus
45617,191,1,virus
12738,20,0,virus
44399,6,1,virus
14826,69,0,virus
51338,262,0,virus
5144,24,1,virus
36688,135,1,virus
27280,43,0,virus
26024,6,0,virus
10107,9,0,virus
33648,18,0,virus
44841,136,0,virus
2571,17,0,virus
30397,21,0,virus
29948,21,1,virus
54202,262,0,virus
19335,103,0,virus
3447,24,1,virus
10870,56,0,virus
52367,250,1,virus
6176,25,1,virus
11962,16,1,virus
16686,0,0,virus
36005,22,0,virus
25768,153,0,virus
32559,18,0,virus
22649,17,0,virus
52372,232,1,virus
17724,222,1,virus
31366,18,0,virus
39047,220,1,virus
9967,16,0,virus
4297,48,1,virus
38451,24,1,virus
4988,189,1,virus
38042,183,1,virus
27357,262,1,virus
13644,168,0,virus
51840,262,1,virus
24200,2,1,virus
9205,2,0,virus
42793,189,1,virus
45402,59,0,virus
38886,20,1,virus
32699,18,0,virus
30019,164,0,virus
36350,24,1,virus
45907,64,1,virus
19362,216,0,virus
4369,34,1,virus
43366,239,1,virus
17289,0,0,virus
8113,191,1,virus
18356,14,0,virus
40760,189,1,virus
47124,43,0,virus
43381,239,1,virus
48403,136,1,virus
24288,55,0,virus
46459,43,1,virus
65,2,0,virus
773,56,1,virus
7537,100,1,virus
6987,189,1,virus
14321,103,0,virus
40664,194,0,virus
958,34,1,virus
39446,20,1,virus
537,0,0,virus
45801,191,1,virus
38676,180,1,virus
13364,86,0,virus
22376,16,1,virus
15635,18,0,virus
24723,20,0,virus
11096,2,0,virus
4710,47,0,virus
52329,250,1,virus
30688,21,0,virus
22424,168,0,virus
18887,102,0,virus
37975,24,1,virus
24860,119,0,virus
38923,20,1,virus
12429,16,0,virus
11108,2,1,virus
24458,55,0,virus
19643,14,0,virus
48568,237,1,virus
5584,49,1,virus
13520,16,0,virus
7724,189,1,virus
40617,189,1,virus
47885,41,0,virus
8760,23,0,virus
9326,189,1,virus
35969,24,1,virus
15354,0,0,virus
21962,222,1,virus
55113,222,1,virus
38048,24,1,virus
37796,22,1,virus
36643,2,0,virus
7318,189,1,virus
22054,2,1,virus
25222,2,0,virus
13204,16,1,virus
30281,18,0,virus
14453,10,0,virus
55187,8,1,virus
11639,16,0,virus
49228,191,1,virus
24065,138,0,virus
17076,114,0,virus
7410,24,1,virus
20684,126,0,virus
13828,9,1,virus
5154,189,1,virus
33519,21,0,virus
13094,16,1,virus
12543,168,0,virus
54115,262,0,virus
33579,18,0,virus
12884,220,0,virus
9253,2,1,virus
40654,194,0,virus
14002,16,0,virus
50334,43,1,virus
