drug_id,prot_id,label,prot_domain
0,0,0,virus
1,0,-1,virus
2,0,0,virus
3,0,0,virus
4,1,-1,virus
5,1,-1,virus
6,2,0,virus
7,2,1,virus
8,2,-1,virus
9,2,0,virus
10,2,-1,virus
11,2,1,virus
12,2,0,virus
13,2,-1,virus
14,2,0,virus
15,2,0,virus
16,2,1,virus
17,2,-1,virus
18,2,0,virus
19,2,0,virus
20,2,1,virus
21,2,1,virus
22,2,1,virus
23,2,1,virus
24,2,-1,virus
25,2,0,virus
26,2,1,virus
27,3,-1,virus
27,4,-1,virus
28,5,-1,virus
29,4,1,virus
30,6,1,virus
31,6,-1,virus
32,7,0,virus
33,6,-1,virus
34,6,1,virus
35,6,1,virus
36,6,1,virus
37,6,1,virus
38,6,1,virus
39,6,1,virus
40,6,1,virus
41,6,1,virus
42,6,1,virus
43,6,1,virus
44,6,1,virus
45,6,1,virus
46,6,1,virus
47,6,1,virus
48,6,1,virus
49,6,1,virus
50,6,1,virus
51,6,1,virus
52,6,1,virus
53,6,1,virus
54,6,1,virus
55,6,1,virus
56,6,1,virus
57,0,0,virus
58,8,-1,virus
58,9,1,virus
59,2,-1,virus
60,4,0,virus
60,10,0,virus
60,11,0,virus
61,4,0,virus
61,10,0,virus
61,11,0,virus
62,2,0,virus
63,2,0,virus
64,2,-1,virus
65,2,0,virus
66,2,1,virus
67,2,1,virus
68,2,0,virus
69,2,1,virus
70,12,0,virus
71,2,-1,virus
72,2,0,virus
73,9,-1,virus
74,0,0,virus
75,2,0,virus
76,0,0,virus
77,0,0,virus
78,2,1,virus
79,3,-1,virus
79,4,-1,virus
80,13,1,virus
81,13,1,virus
82,13,1,virus
83,13,1,virus
84,13,1,virus
85,13,1,virus
86,13,1,virus
87,13,1,virus
88,13,1,virus
89,13,1,virus
90,2,-1,virus
91,13,1,virus
92,2,-1,virus
93,14,1,virus
94,14,1,virus
95,0,0,virus
96,0,0,virus
97,0,0,virus
98,2,0,virus
99,2,-1,virus
100,0,0,virus
101,0,0,virus
102,0,0,virus
103,15,-1,virus
104,8,1,virus
105,4,-1,virus
106,4,1,virus
107,3,-1,virus
107,4,-1,virus
108,3,-1,virus
108,4,-1,virus
109,3,-1,virus
109,4,-1,virus
110,4,1,virus
111,4,-1,virus
112,4,-1,virus
113,3,-1,virus
113,4,-1,virus
114,4,-1,virus
115,3,-1,virus
115,4,-1,virus
116,16,-1,virus
117,5,0,virus
118,17,0,virus
119,5,0,virus
120,2,0,virus
121,0,0,virus
122,2,1,virus
123,18,-1,virus
124,2,-1,virus
125,2,-1,virus
126,16,-1,virus
127,2,1,virus
128,19,0,virus
129,19,0,virus
130,2,-1,virus
131,2,-1,virus
132,8,1,virus
132,9,-1,virus
133,8,1,virus
134,8,1,virus
135,8,1,virus
136,8,1,virus
137,8,-1,virus
137,9,-1,virus
138,9,1,virus
139,9,0,virus
140,0,0,virus
141,17,0,virus
142,16,-1,virus
143,8,-1,virus
144,0,0,virus
145,5,0,virus
146,15,1,virus
147,15,-1,virus
148,15,1,virus
149,15,1,virus
150,15,1,virus
151,15,1,virus
152,9,0,virus
153,9,0,virus
154,2,-1,virus
155,2,-1,virus
156,2,1,virus
157,15,1,virus
158,15,1,virus
159,8,1,virus
160,9,-1,virus
161,0,0,virus
162,0,0,virus
163,2,-1,virus
164,9,-1,virus
165,9,1,virus
166,9,1,virus
167,9,1,virus
168,9,1,virus
169,9,1,virus
170,9,1,virus
171,9,1,virus
172,0,0,virus
173,15,-1,virus
174,15,0,virus
175,15,1,virus
176,15,-1,virus
177,15,1,virus
178,15,1,virus
179,15,1,virus
180,15,1,virus
181,20,1,virus
182,9,-1,virus
183,8,1,virus
184,21,0,virus
185,8,-1,virus
186,2,-1,virus
187,9,-1,virus
188,15,1,virus
189,15,1,virus
190,9,-1,virus
191,9,0,virus
192,1,-1,virus
193,9,-1,virus
194,9,-1,virus
195,9,-1,virus
196,9,-1,virus
197,9,0,virus
198,9,0,virus
199,9,0,virus
200,9,0,virus
201,9,0,virus
202,9,0,virus
203,9,-1,virus
204,9,-1,virus
205,1,0,virus
206,1,0,virus
207,1,-1,virus
208,9,1,virus
209,9,-1,virus
210,9,-1,virus
211,9,1,virus
212,9,-1,virus
213,9,1,virus
214,9,-1,virus
215,9,0,virus
216,9,0,virus
217,2,-1,virus
218,22,1,virus
218,23,1,virus
219,22,1,virus
219,23,1,virus
220,22,-1,virus
220,23,-1,virus
221,22,-1,virus
221,23,-1,virus
222,22,1,virus
222,23,1,virus
223,22,1,virus
223,23,1,virus
224,22,1,virus
224,23,1,virus
225,22,1,virus
225,23,1,virus
226,22,1,virus
226,23,1,virus
227,22,1,virus
227,23,1,virus
228,22,1,virus
228,23,1,virus
229,22,1,virus
229,23,1,virus
230,22,1,virus
230,23,1,virus
231,22,1,virus
231,23,1,virus
232,22,1,virus
232,23,1,virus
233,22,1,virus
233,23,1,virus
234,22,1,virus
234,23,1,virus
235,22,1,virus
235,23,1,virus
236,22,1,virus
236,23,1,virus
237,22,1,virus
237,23,1,virus
238,22,1,virus
238,23,1,virus
239,22,1,virus
239,23,1,virus
240,22,1,virus
240,23,1,virus
241,22,1,virus
241,23,1,virus
242,22,1,virus
242,23,1,virus
243,22,1,virus
243,23,1,virus
244,22,-1,virus
244,23,-1,virus
245,22,1,virus
245,23,1,virus
246,15,1,virus
247,8,1,virus
248,8,-1,virus
249,20,-1,virus
250,24,1,virus
251,24,1,virus
252,24,1,virus
253,24,1,virus
254,24,1,virus
255,24,1,virus
256,2,1,virus
257,2,1,virus
258,2,1,virus
259,2,1,virus
260,2,1,virus
261,14,-1,virus
262,5,0,virus
263,0,0,virus
264,5,-1,virus
265,20,-1,virus
266,20,1,virus
267,15,1,virus
268,2,-1,virus
269,2,0,virus
270,2,-1,virus
271,2,-1,virus
272,2,-1,virus
273,2,-1,virus
274,2,0,virus
275,2,-1,virus
276,2,0,virus
277,2,-1,virus
278,0,0,virus
279,5,-1,virus
280,17,-1,virus
281,25,-1,virus
282,9,0,virus
283,15,0,virus
284,9,0,virus
285,9,0,virus
286,9,0,virus
287,9,0,virus
288,9,0,virus
289,9,0,virus
290,9,-1,virus
291,9,0,virus
292,15,1,virus
293,2,0,virus
294,15,-1,virus
295,7,0,virus
296,19,0,virus
297,0,-1,virus
298,16,0,virus
299,16,1,virus
300,16,1,virus
301,16,1,virus
302,16,1,virus
303,16,1,virus
304,16,1,virus
305,26,-1,virus
305,27,-1,virus
306,26,-1,virus
306,27,-1,virus
307,26,-1,virus
307,27,-1,virus
308,2,-1,virus
309,25,-1,virus
310,25,-1,virus
311,27,0,virus
312,25,1,virus
313,15,1,virus
314,25,0,virus
315,25,0,virus
316,25,0,virus
317,25,0,virus
318,25,0,virus
319,2,-1,virus
320,0,0,virus
321,0,0,virus
322,0,0,virus
323,15,-1,virus
324,2,-1,virus
325,8,1,virus
326,17,0,virus
327,8,1,virus
328,8,1,virus
329,8,1,virus
330,0,0,virus
331,8,1,virus
332,8,1,virus
333,8,-1,virus
334,8,-1,virus
335,8,-1,virus
336,8,-1,virus
337,8,-1,virus
338,8,-1,virus
339,8,-1,virus
340,9,-1,virus
341,2,1,virus
342,24,-1,virus
343,8,1,virus
344,18,-1,virus
345,0,0,virus
346,27,0,virus
347,8,1,virus
348,18,-1,virus
349,18,-1,virus
350,18,0,virus
351,18,-1,virus
352,18,-1,virus
353,18,0,virus
354,18,0,virus
355,18,-1,virus
356,18,0,virus
357,18,0,virus
358,18,-1,virus
359,18,-1,virus
360,8,1,virus
361,18,-1,virus
362,2,1,virus
363,26,0,virus
363,27,-1,virus
364,18,-1,virus
365,2,1,virus
366,2,-1,virus
367,0,0,virus
368,2,-1,virus
369,17,0,virus
370,1,-1,virus
371,0,0,virus
372,0,-1,virus
373,24,1,virus
374,0,0,virus
375,17,0,virus
376,0,0,virus
377,9,-1,virus
378,2,0,virus
379,9,-1,virus
380,9,-1,virus
381,9,0,virus
382,9,0,virus
383,9,0,virus
384,9,0,virus
385,9,0,virus
386,9,0,virus
387,9,-1,virus
388,9,0,virus
389,8,-1,virus
390,8,-1,virus
391,0,0,virus
392,28,0,virus
393,28,0,virus
394,28,0,virus
395,28,0,virus
396,28,0,virus
397,9,-1,virus
398,0,0,virus
399,2,-1,virus
400,19,0,virus
401,19,-1,virus
402,0,0,virus
403,2,0,virus
404,25,-1,virus
405,2,-1,virus
406,8,1,virus
407,16,-1,virus
408,8,1,virus
409,8,-1,virus
410,9,1,virus
411,0,0,virus
412,0,0,virus
413,2,-1,virus
414,2,0,virus
415,2,0,virus
416,2,0,virus
417,2,0,virus
418,2,-1,virus
419,2,-1,virus
420,2,-1,virus
421,0,0,virus
422,9,1,virus
423,9,-1,virus
424,9,1,virus
425,9,1,virus
426,8,1,virus
427,0,0,virus
428,0,0,virus
429,0,0,virus
430,0,0,virus
431,0,-1,virus
432,2,0,virus
433,0,0,virus
434,0,0,virus
435,0,0,virus
436,0,0,virus
437,9,1,virus
438,9,1,virus
439,9,1,virus
440,9,1,virus
441,9,1,virus
442,9,1,virus
443,2,-1,virus
444,0,0,virus
445,2,-1,virus
446,2,-1,virus
447,2,-1,virus
448,2,1,virus
449,2,1,virus
450,2,-1,virus
451,2,1,virus
452,2,-1,virus
453,2,1,virus
454,8,-1,virus
455,9,1,virus
456,29,-1,virus
457,29,-1,virus
458,29,1,virus
459,29,1,virus
460,29,-1,virus
461,29,1,virus
462,2,-1,virus
463,9,-1,virus
464,25,-1,virus
465,25,-1,virus
466,25,1,virus
467,25,-1,virus
468,25,0,virus
469,25,0,virus
470,25,1,virus
471,25,1,virus
472,25,1,virus
473,25,0,virus
474,25,1,virus
475,25,1,virus
476,25,0,virus
477,25,0,virus
478,25,0,virus
479,25,1,virus
480,25,1,virus
481,25,1,virus
482,25,1,virus
483,25,1,virus
484,25,1,virus
485,25,1,virus
486,25,-1,virus
487,25,-1,virus
488,25,-1,virus
489,25,0,virus
490,25,1,virus
491,25,0,virus
492,25,0,virus
493,25,0,virus
494,25,1,virus
495,25,1,virus
496,25,1,virus
497,25,1,virus
498,25,-1,virus
499,25,-1,virus
500,25,-1,virus
501,25,1,virus
502,25,1,virus
503,25,1,virus
504,25,1,virus
505,25,1,virus
506,25,1,virus
507,25,1,virus
508,25,-1,virus
509,25,1,virus
510,25,-1,virus
511,25,0,virus
512,25,0,virus
513,25,-1,virus
514,27,0,virus
515,12,-1,virus
516,2,-1,virus
517,19,-1,virus
518,2,-1,virus
519,9,-1,virus
520,2,0,virus
521,0,0,virus
522,12,-1,virus
523,12,-1,virus
524,8,-1,virus
525,9,-1,virus
526,9,0,virus
527,9,0,virus
528,9,0,virus
529,9,0,virus
530,9,0,virus
531,9,0,virus
532,9,-1,virus
533,9,-1,virus
534,0,0,virus
535,0,0,virus
536,25,0,virus
537,0,0,virus
538,2,1,virus
539,2,-1,virus
540,9,0,virus
541,2,-1,virus
542,25,-1,virus
543,2,1,virus
544,2,1,virus
545,2,-1,virus
546,2,1,virus
547,2,1,virus
548,2,1,virus
549,2,1,virus
550,2,1,virus
551,2,1,virus
552,2,1,virus
553,2,-1,virus
554,2,1,virus
555,2,1,virus
556,2,1,virus
557,2,1,virus
558,2,-1,virus
559,2,1,virus
560,8,1,virus
561,2,1,virus
562,0,-1,virus
563,0,-1,virus
564,0,-1,virus
565,0,0,virus
566,0,0,virus
567,2,-1,virus
568,30,-1,virus
569,30,-1,virus
570,2,-1,virus
571,0,0,virus
572,0,0,virus
573,0,0,virus
574,15,1,virus
575,0,0,virus
576,0,0,virus
577,8,1,virus
578,8,1,virus
579,8,1,virus
580,8,1,virus
581,8,-1,virus
582,9,0,virus
583,9,0,virus
584,9,0,virus
585,31,-1,virus
585,15,1,virus
586,22,1,virus
586,23,1,virus
587,22,1,virus
587,23,1,virus
588,22,1,virus
588,23,1,virus
589,22,1,virus
589,23,1,virus
590,22,1,virus
590,23,1,virus
591,22,1,virus
591,23,1,virus
592,22,1,virus
592,23,1,virus
593,22,1,virus
593,23,1,virus
594,22,1,virus
594,23,1,virus
595,22,1,virus
595,23,1,virus
596,22,1,virus
596,23,1,virus
597,22,1,virus
597,23,1,virus
598,22,1,virus
598,23,1,virus
599,22,1,virus
599,23,1,virus
600,8,1,virus
601,9,0,virus
602,0,0,virus
603,8,-1,virus
604,8,-1,virus
605,8,1,virus
606,8,1,virus
607,8,1,virus
608,8,1,virus
609,8,1,virus
610,8,1,virus
611,8,1,virus
612,8,1,virus
613,8,1,virus
614,8,1,virus
